job_id,workflow_name,env,task_name,final_params_map
483946622815596,wf_gold_ScheduledReceiptRequisition,dev,load_gold_ScheduledReceiptRequisition,"{""workflow_name"":""wf_gold_ScheduledReceiptRequisition"",""task_name"":""load_gold_ScheduledReceiptRequisition"",""table_name"":""beliv_dev.synexis.silver_schedule_receipt_requisition"",""target_table"":""beliv_dev.synexis.gold_scheduled_receipt_requisition"",""customer_table"":""beliv_prd.synexis.customer"",""part_table"":""beliv_dev.synexis.gold_part_master"",""inventory_table"":""beliv_prd.synexis.vw_om_inventory_latest"",""pricing_table"":""beliv_dev.synexis.silver_id_pricing"",""is_first_task"":""true"",""is_last_task"":""false""}"
483946622815596,wf_gold_ScheduledReceiptRequisition,dev,upload_gold_ScheduledReceiptRequisition,"{""file_name"":""ScheduledReceiptRequisition.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""id,site,new_type,line,status,partname,requestdate,totalquantity,duedate,dockdate,unitprice,OrderSupplierId"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}"
65073055768898,wf_gold_sellin_nocbc,dev,load_gold_sellin_nocbc,"{""workflow_name"":""wf_gold_sellin_nocbc"",""task_name"":""load_gold_sellin_nocbc"",""table_name"":""beliv_prd.commercial.sell_in"",""target_table"":""beliv_dev.synexis.gold_sellin_nocbc"",""customer_table"":""beliv_prd.synexis.customer"",""mergenfinanciero_table"":""beliv_prd.synexis.fima"",""sellout_table"":""beliv_prd.commercial.sell_out"",""tbl_part"":""beliv_dev.synexis.gold_part_master"",""is_first_task"":""true"",""is_last_task"":""false""}"
65073055768898,wf_gold_sellin_nocbc,dev,upload_gold_sellin_nocbc,"{""file_name"":""Sell_IN.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""filter_condition"":""1=1"",""column_list"":""header_category, header_customer, header_part_name, header_site,date,header_customer_name,quantity,unit_price,sellin_flag"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}"
23621294459416,wf_gold_part_master,dev,upload_gold_part_master,"{""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""file_name"":""Part.tab"",""column_list"":""name,sitevalue_name,description,type_value,buyer_code_value,buyerdescription,abc,xyz,unitofmeasure,safetystockqty,stdunitcost,AverageSellingPrice,partclass,category,sub_category,brand,size,container,flavor,cell,business_model,status,id_producing_plant,family"",""filter_condition"":"""",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}"
1040122872095691,wf_gold_part_source_transfer,dev,upload_gold_part_source_transfer,"{""file_name"":""PartSourceTransfer.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""basekey,partname,transferpartname,partsite,suppliersite,transfersite,source_id,supplier_id,multipleqty,minimumqty, fixedleadtime,target,type"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}"
540033879836015,wf_gold_historical_demand_actual,dev,upload_gold_historical_demand_actual,"{""file_name"":""HistoricalDemandActual.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""filter_condition"":""1=1"",""column_list"":""header_category, header_customer, header_part_name, header_site,date,header_customer_name,quantity,unit_price,sellin_flag"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}"
775632455910372,wf_gold_part_source_buy,dev,upload_gold_part_source_buy,"{""file_name"":""PartSourceBuy.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""basekey,partname,partsite,suppliersite,source_id,supplier_id,supplier_uom,multipleqty,minimumqty,unitcost,fixedleadtime,target,type"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}"
610268748648100,wf_gold_bill_of_material,dev,upload_gold_bill_of_material,"{""file_name"":""BillOfMaterial.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""filter_condition"":"""",""column_list"":""assembly_name,assembly_site_value,component_name,component_site_value,EffectiveInDate,EffectiveOutDate,quantityper,scrap,safety_stock"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}"
245368066493166,wf_gold_part_source_make,dev,upload_gold_part_source_make,"{""file_name"":""PartSourceMake.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""basekey,partname,partsite,suppliersite,source_id,supplier_id,minimumqty,unitcost,materialcost,laborcost,overheadcost,overheadcost2,fixedleadtime,ratio,type"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}"
